GEOID,CRRALL,CRRINT,DRRALL,DRRINT
01001020100,66.8,60.1,0.0,0.0
01001020200,66.8,37.0,0.0,0.0
01001020300,76.0,65.7,0.0,0.0
01001020400,79.6,69.2,0.1,0.1
01001020500,74.94986,68.52378,0.0305,0.0305
01001020600,67.9,59.4,0.1,0.1
01001020700,64.0,54.7,0.0,0.0
01001020801,72.9,65.5,0.0,0.0
01001020802,72.88159,65.8645,0.03732,0.03732
01001020900,67.05068,32.15172,0.049960000000000004,0.049960000000000004
01001021000,57.2,21.8,0.0,0.0
01001021100,55.4,22.5,0.0,0.0
01003010100,42.1,17.4,0.0,0.0
01003010200,59.91442000000001,28.04088,0.09986,0.09986
01003010300,63.1,54.6,0.0,0.0
01003010400,62.4,51.7,0.0,0.0
01003010500,70.2,57.2,0.0,0.0
01003010600,57.2,29.1,0.0,0.0
01003010701,74.97992,66.67287999999999,0.1,0.1
01003010703,72.30165,66.7791,0.0,0.0
01003010704,74.8,66.7,0.0,0.0
01003010705,70.16032,63.387299999999996,0.1,0.1
01003010800,63.8,54.9,0.0,0.0
01003010903,69.1,61.6,0.0,0.0
01003010904,64.0,54.5,0.1,0.1
01003010905,66.44854000000001,57.845620000000004,0.0,0.0
01003010906,66.5,34.2,0.1,0.1
01003011000,60.3,29.3,0.1,0.1
01003011101,76.71230999999999,68.07708,0.07087,0.07087
01003011102,73.57816,65.37634,0.00013,0.00013
01003011201,71.4,60.9,0.0,0.0
01003011202,65.0,55.7,0.1,0.1
01003011300,56.8,47.2,0.1,0.1
01003011401,57.925399999999996,28.149299999999997,0.0597,0.0597
01003011403,58.21722,51.49946,0.0,0.0
01003011405,22.491020000000006,20.23197,0.0,0.0
01003011406,16.69868,9.645199999999999,0.02212,0.02212
01003011407,20.00596,17.24988,0.0,0.0
01003011408,32.1,27.8,0.0,0.0
01003011501,72.8,61.3,0.0,0.0
01003011502,66.4419,31.71185,0.054150000000000004,0.054150000000000004
01003011601,61.3,53.2,0.0,0.0
01003011602,62.17371,24.0305,0.046610000000000006,0.046610000000000006
01005950100,57.6,23.1,0.0,0.0
01005950200,50.8,18.4,0.0,0.0
01005950300,50.8,18.8,0.0,0.0
01005950400,44.0,14.1,0.0,0.0
01005950500,49.8,39.7,0.0,0.0
01005950600,60.1,29.1,0.0,0.0
01005950700,63.4,50.1,0.4,0.4
01005950800,65.3,53.4,0.1,0.1
01005950900,59.6,25.1,0.1,0.1
01007010001,60.79493999999999,25.195169999999997,0.0,0.0
01007010002,57.623000000000005,28.73966,0.1,0.03046
01007010003,55.05842,24.65168,0.0,0.0
01007010004,56.31069,26.30141,0.039630000000000006,0.039630000000000006
01009050101,63.63932,27.90911,0.04202,0.04202
01009050102,65.34214999999999,51.96562999999999,0.05686,0.05686
01009050200,63.1,29.4,0.1,0.0
01009050300,61.006780000000006,24.92082,0.05234000000000001,0.05234000000000001
01009050400,61.8,25.0,0.0,0.0
01009050500,62.184799999999996,49.92711,0.1,0.1
01009050601,68.9,58.0,0.1,0.1
01009050602,71.93932,62.253119999999996,0.1,0.1
01009050700,66.34578,30.631320000000002,0.0,0.0
01011952100,46.6,21.6,0.0,0.0
01011952200,49.21206,21.8687,0.055420000000000004,0.0
01011952500,50.1,21.4,0.0,0.0
01013952700,54.2,24.2,0.1,0.1
01013952800,65.8,54.3,0.0,0.0
01013952900,57.1,28.7,0.0,0.0
01013953000,48.8,18.4,0.1,0.1
01013953100,51.80318,23.60306,0.09994,0.09994
01013953200,62.0,27.2,0.0,0.0
01013953300,58.0,21.7,0.0,0.0
01013953400,49.7,20.7,0.0,0.0
01013953500,61.8,22.2,0.0,0.0
01015000200,55.0,27.1,0.1,0.0
01015000300,48.93456,21.02232,0.0,0.0
01015000400,57.1,23.0,0.0,0.0
01015000500,35.7,14.4,0.0,0.0
01015000600,47.69632,22.64048,0.0017800000000000001,0.0017800000000000001
01015000700,63.25392,30.27024,0.0,0.0
01015000800,49.4,20.1,0.1,0.1
01015000900,68.8,32.9,0.1,0.1
01015001000,71.9,61.9,0.1,0.1
01015001100,67.97923999999999,58.974239999999995,0.024489999999999998,0.0
01015001201,62.651289999999996,30.19421,0.09981000000000001,0.09981000000000001
01015001202,68.6,34.9,0.0,0.0
01015001300,51.9,39.0,0.0,0.0
01015001400,60.3,27.6,0.0,0.0
01015001500,64.74874,30.958239999999996,0.0998,0.06569
01015001600,57.3,46.5,0.2,0.2
01015001700,72.3,60.5,0.0,0.0
01015001800,66.80767999999999,56.869719999999994,0.0,0.0
01015002000,68.2582,57.33118,0.0,0.0
01015002101,33.8,23.3,0.1,0.1
01015002102,72.58488,65.18002,0.0,0.0
01015002103,66.61252,57.444630000000004,0.054830000000000004,0.054830000000000004
01015002200,65.0,52.2,0.0,0.0
01015002300,63.4,27.4,0.0,0.0
01015002400,70.7,59.4,0.0,0.0
01015002501,71.07032000000001,60.30548,0.044140000000000006,0.0
01015002502,66.3,29.1,0.0,0.0
01015002600,63.0,26.4,0.0,0.0
01015981901,0.0,0.0,0.0,0.0
01015981902,0.0,0.0,0.0,0.0
01017953800,54.0,17.7,0.0,0.0
01017953900,57.4,26.6,0.0,0.0
01017954000,53.4076,19.7481,0.0391,0.0
01017954200,63.5,29.3,0.1,0.1
01017954300,50.6,40.8,0.0,0.0
01017954400,54.6,22.7,0.0,0.0
01017954500,54.6,22.7,0.0,0.0
01017954600,68.5,57.4,0.1,0.1
01017954700,63.8,29.6,0.0,0.0
01019955701,38.4,16.9,0.0,0.0
01019955702,46.0,18.1,0.0,0.0
01019955800,44.5767,20.376199999999997,0.0,0.0
01019955900,60.0,24.5,0.0,0.0
01019956000,52.1,22.2,0.1,0.1
01019956100,38.032560000000004,15.57592,0.06988,0.06988
01021060101,64.9,30.9,0.0,0.0
01021060102,67.6,55.68224,0.0,0.0
01021060200,61.0,26.7,0.1,0.1
01021060300,52.6,22.7,0.0,0.0
01021060401,65.7,53.8,0.0,0.0
01021060402,59.16185,28.256650000000004,0.03815,0.03815
01021060500,58.5,24.9,0.1,0.1
01021060600,62.8,26.7,0.1,0.0
01021060700,56.946039999999996,25.83072,0.0,0.0
01023956700,42.6,16.0,0.0,0.0
01023956800,58.3,22.5,0.1,0.1
01023956900,58.1,18.5,0.0,0.0
01023957000,53.7,22.1,0.2,0.2
01025957500,49.5,18.0,0.0,0.0
01025957601,54.7,17.3,0.0,0.0
01025957602,61.035070000000005,29.2905,0.05181,0.05181
01025957700,36.0,13.7,0.0,0.0
01025957800,54.7,22.7,0.0,0.0
01025957901,62.1,26.7,0.1,0.1
01025957902,58.3,24.6,0.0,0.0
01025958001,51.2,22.0,0.0,0.0
01025958002,51.2,22.0,0.0,0.0
