CAVG,CINTMAX,CINTMED,CINTMIN,CMAX,CMED,CMIN,CRRALL,CRRINT,DAVG,DINTAVG,DINTMAX,DINTMED,DINTMIN,DMAX,DMED,DMIN,DRRALL,DRRINT,GEO_ID,RESP_DATE,state,county,tract
,,,,,,,16.3,16.1,,,,,,,,,1.4,1.4,1400000US36037950502,2020-03-23,36,037,950502
,,,,,,,23.5,22.9,,,,,,,,,0.8,0.8,1400000US36037950600,2020-03-23,36,037,950600
,,,,,,,17.1,16.7,,,,,,,,,1.1,1.1,1400000US36037950700,2020-03-23,36,037,950700
,,,,,,,19.4,19.2,,,,,,,,,0.8,0.8,1400000US36037950800,2020-03-23,36,037,950800
,,,,,,,30.8,9.2,,,,,,,,,0.5,0.4,1400000US36037950900,2020-03-23,36,037,950900
,,,,,,,19.2,18.6,,,,,,,,,1.1,1.1,1400000US36037951000,2020-03-23,36,037,951000
,,,,,,,16.3,16.1,,,,,,,,,2.1,2.1,1400000US36037951100,2020-03-23,36,037,951100
,,,,,,,22.9,22.7,,,,,,,,,1.3,1.3,1400000US36037951200,2020-03-23,36,037,951200
,,,,,,,25.6,25.5,,,,,,,,,1.7,1.7,1400000US36037951300,2020-03-23,36,037,951300
,,,,,,,17.5,17.3,,,,,,,,,1.9,1.9,1400000US36037951400,2020-03-23,36,037,951400
,,,,,,,16.0,4.9,,,,,,,,,0.8,0.2,1400000US36039080100,2020-03-23,36,039,080100
,,,,,,,15.0,14.8,,,,,,,,,1.2,1.2,1400000US36039080201,2020-03-23,36,039,080201
,,,,,,,13.0,4.1,,,,,,,,,0.2,0.2,1400000US36039080202,2020-03-23,36,039,080202
,,,,,,,0.8,0.7,,,,,,,,,0.1,0.1,1400000US36039080301,2020-03-23,36,039,080301
,,,,,,,1.9,1.8,,,,,,,,,0.0,0.0,1400000US36039080302,2020-03-23,36,039,080302
,,,,,,,2.8,0.8,,,,,,,,,0.2,0.1,1400000US36039080402,2020-03-23,36,039,080402
,,,,,,,0.8,0.7,,,,,,,,,0.0,0.0,1400000US36039080404,2020-03-23,36,039,080404
,,,,,,,13.1,12.8,,,,,,,,,1.2,1.2,1400000US36039080501,2020-03-23,36,039,080501
,,,,,,,12.8,12.6,,,,,,,,,1.3,1.3,1400000US36039080600,2020-03-23,36,039,080600
,,,,,,,16.9,16.3,,,,,,,,,0.8,0.8,1400000US36039080700,2020-03-23,36,039,080700
,,,,,,,13.8,13.3,,,,,,,,,1.8,1.8,1400000US36039080900,2020-03-23,36,039,080900
,,,,,,,20.7,8.5,,,,,,,,,0.9,0.7,1400000US36039081002,2020-03-23,36,039,081002
,,,,,,,17.9,5.7,,,,,,,,,0.8,0.6,1400000US36039081101,2020-03-23,36,039,081101
,,,,,,,0.1,0.1,,,,,,,,,0.0,0.0,1400000US36041950100,2020-03-23,36,041,950100
,,,,,,,0.4,0.2,,,,,,,,,0.0,0.0,1400000US36041950300,2020-03-23,36,041,950300
,,,,,,,0.2,0.2,,,,,,,,,0.0,0.0,1400000US36041950500,2020-03-23,36,041,950500
,,,,,,,21.4,21.0,,,,,,,,,1.2,1.2,1400000US36043010201,2020-03-23,36,043,010201
,,,,,,,34.2,9.3,,,,,,,,,0.6,0.2,1400000US36043010202,2020-03-23,36,043,010202
,,,,,,,17.8,17.4,,,,,,,,,1.0,1.0,1400000US36043010400,2020-03-23,36,043,010400
,,,,,,,23.0,22.8,,,,,,,,,0.9,0.9,1400000US36043010501,2020-03-23,36,043,010501
,,,,,,,18.7,18.4,,,,,,,,,0.6,0.6,1400000US36043010701,2020-03-23,36,043,010701
,,,,,,,31.9,7.6,,,,,,,,,0.5,0.4,1400000US36043010900,2020-03-23,36,043,010900
,,,,,,,18.9,18.6,,,,,,,,,1.1,1.1,1400000US36043011001,2020-03-23,36,043,011001
,,,,,,,15.6,15.0,,,,,,,,,1.5,1.5,1400000US36043011100,2020-03-23,36,043,011100
,,,,,,,27.0,7.7,,,,,,,,,0.5,0.4,1400000US36043011200,2020-03-23,36,043,011200
,,,,,,,31.7,7.7,,,,,,,,,0.5,0.2,1400000US36043011302,2020-03-23,36,043,011302
,,,,,,,12.6,12.2,,,,,,,,,1.1,1.1,1400000US36043011400,2020-03-23,36,043,011400
,,,,,,,11.5,11.5,,,,,,,,,1.0,1.0,1400000US36043011503,2020-03-23,36,043,011503
,,,,,,,4.7,4.7,,,,,,,,,0.3,0.3,1400000US36045060101,2020-03-23,36,045,060101
,,,,,,,9.2,9.1,,,,,,,,,0.8,0.8,1400000US36045060202,2020-03-23,36,045,060202
,,,,,,,3.4,3.3,,,,,,,,,0.2,0.2,1400000US36045060301,2020-03-23,36,045,060301
,,,,,,,4.5,4.5,,,,,,,,,0.3,0.3,1400000US36045060302,2020-03-23,36,045,060302
,,,,,,,12.7,12.7,,,,,,,,,1.7,1.7,1400000US36045060402,2020-03-23,36,045,060402
,,,,,,,16.2,16.0,,,,,,,,,1.3,1.3,1400000US36045060500,2020-03-23,36,045,060500
,,,,,,,11.4,11.4,,,,,,,,,1.4,1.4,1400000US36045060602,2020-03-23,36,045,060602
