CAVG,CINTMAX,CINTMED,CINTMIN,CMAX,CMED,CMIN,CRRALL,CRRINT,DAVG,DINTAVG,DINTMAX,DINTMED,DINTMIN,DMAX,DMED,DMIN,DRRALL,DRRINT,GEO_ID,RESP_DATE,state,county,tract
,,,,,,,46.6,44.9,,,,,,,,,0.0,0.0,1400000US37001020100,2020-04-21,37,001,020100
,,,,,,,43.8,20.9,,,,,,,,,0.2,0.1,1400000US37001020200,2020-04-21,37,001,020200
,,,,,,,48.2,20.8,,,,,,,,,0.1,0.1,1400000US37001020301,2020-04-21,37,001,020301
,,,,,,,48.1,24.3,,,,,,,,,0.1,0.0,1400000US37001020302,2020-04-21,37,001,020302
,,,,,,,44.7,22.2,,,,,,,,,0.1,0.0,1400000US37001020400,2020-04-21,37,001,020400
,,,,,,,48.6,46.5,,,,,,,,,1.1,0.2,1400000US37001020501,2020-04-21,37,001,020501
,,,,,,,44.9,23.6,,,,,,,,,0.2,0.2,1400000US37001020502,2020-04-21,37,001,020502
,,,,,,,67.3,65.9,,,,,,,,,0.3,0.3,1400000US37001020601,2020-04-21,37,001,020601
,,,,,,,62.1,59.9,,,,,,,,,1.6,0.4,1400000US37001020602,2020-04-21,37,001,020602
,,,,,,,52.4,51.6,,,,,,,,,0.2,0.2,1400000US37001020701,2020-04-21,37,001,020701
,,,,,,,46.2,44.3,,,,,,,,,1.3,0.4,1400000US37001020702,2020-04-21,37,001,020702
,,,,,,,48.1,46.2,,,,,,,,,1.1,0.6,1400000US37001020801,2020-04-21,37,001,020801
,,,,,,,46.4,23.5,,,,,,,,,0.1,0.1,1400000US37001020802,2020-04-21,37,001,020802
,,,,,,,50.3,48.5,,,,,,,,,0.2,0.2,1400000US37001020901,2020-04-21,37,001,020901
,,,,,,,61.9,60.5,,,,,,,,,0.8,0.2,1400000US37001020902,2020-04-21,37,001,020902
,,,,,,,45.4,21.7,,,,,,,,,0.7,0.2,1400000US37001021000,2020-04-21,37,001,021000
,,,,,,,51.7,48.9,,,,,,,,,1.8,0.1,1400000US37001021101,2020-04-21,37,001,021101
,,,,,,,54.4,51.5,,,,,,,,,1.5,0.1,1400000US37001021102,2020-04-21,37,001,021102
,,,,,,,43.6,21.3,,,,,,,,,0.1,0.1,1400000US37001021201,2020-04-21,37,001,021201
,,,,,,,48.6,48.1,,,,,,,,,0.4,0.3,1400000US37001021204,2020-04-21,37,001,021204
,,,,,,,53.3,52.7,,,,,,,,,0.2,0.1,1400000US37001021205,2020-04-21,37,001,021205
,,,,,,,47.2,46.6,,,,,,,,,0.0,0.0,1400000US37001021206,2020-04-21,37,001,021206
,,,,,,,52.2,50.2,,,,,,,,,1.2,0.2,1400000US37001021207,2020-04-21,37,001,021207
,,,,,,,46.9,46.0,,,,,,,,,0.2,0.2,1400000US37001021300,2020-04-21,37,001,021300
,,,,,,,59.0,23.7,,,,,,,,,0.2,0.1,1400000US37001021400,2020-04-21,37,001,021400
,,,,,,,51.7,50.8,,,,,,,,,0.2,0.2,1400000US37001021500,2020-04-21,37,001,021500
,,,,,,,48.4,47.0,,,,,,,,,1.1,0.4,1400000US37001021600,2020-04-21,37,001,021600
,,,,,,,67.5,66.5,,,,,,,,,0.4,0.4,1400000US37001021701,2020-04-21,37,001,021701
,,,,,,,44.2,43.6,,,,,,,,,0.7,0.4,1400000US37001021702,2020-04-21,37,001,021702
,,,,,,,53.9,53.1,,,,,,,,,0.3,0.3,1400000US37001021703,2020-04-21,37,001,021703
,,,,,,,48.3,47.2,,,,,,,,,0.6,0.3,1400000US37001021801,2020-04-21,37,001,021801
,,,,,,,49.4,48.7,,,,,,,,,0.2,0.2,1400000US37001021802,2020-04-21,37,001,021802
,,,,,,,51.2,22.0,,,,,,,,,0.1,0.1,1400000US37001021803,2020-04-21,37,001,021803
,,,,,,,49.0,47.7,,,,,,,,,0.0,0.0,1400000US37001021901,2020-04-21,37,001,021901
,,,,,,,48.7,47.8,,,,,,,,,0.1,0.1,1400000US37001021902,2020-04-21,37,001,021902
,,,,,,,51.7,51.2,,,,,,,,,0.3,0.3,1400000US37001022001,2020-04-21,37,001,022001
,,,,,,,42.0,41.1,,,,,,,,,0.1,0.1,1400000US37001022002,2020-04-21,37,001,022002
,,,,,,,53.3,18.2,,,,,,,,,0.0,0.0,1400000US37003040100,2020-04-21,37,003,040100
,,,,,,,57.8,18.9,,,,,,,,,0.3,0.1,1400000US37003040200,2020-04-21,37,003,040200
,,,,,,,44.8,43.9,,,,,,,,,0.3,0.3,1400000US37003040300,2020-04-21,37,003,040300
,,,,,,,49.1,19.4,,,,,,,,,0.3,0.2,1400000US37003040400,2020-04-21,37,003,040400
,,,,,,,48.4,19.5,,,,,,,,,0.2,0.1,1400000US37003040500,2020-04-21,37,003,040500
,,,,,,,48.8,46.7,,,,,,,,,1.7,0.6,1400000US37003040600,2020-04-21,37,003,040600
,,,,,,,57.6,56.6,,,,,,,,,0.4,0.4,1400000US37003040700,2020-04-21,37,003,040700
,,,,,,,27.7,10.3,,,,,,,,,0.1,0.1,1400000US37005950100,2020-04-21,37,005,950100
,,,,,,,40.3,14.8,,,,,,,,,0.1,0.1,1400000US37005950200,2020-04-21,37,005,950200
,,,,,,,33.0,11.5,,,,,,,,,0.1,0.0,1400000US37005950300,2020-04-21,37,005,950300
,,,,,,,38.0,15.1,,,,,,,,,0.1,0.1,1400000US37007920100,2020-04-21,37,007,920100
,,,,,,,29.9,12.5,,,,,,,,,0.0,0.0,1400000US37007920200,2020-04-21,37,007,920200
,,,,,,,45.3,20.0,,,,,,,,,0.1,0.1,1400000US37007920301,2020-04-21,37,007,920301
,,,,,,,53.8,21.3,,,,,,,,,0.0,0.0,1400000US37007920302,2020-04-21,37,007,920302
,,,,,,,38.5,14.8,,,,,,,,,0.0,0.0,1400000US37007920400,2020-04-21,37,007,920400
,,,,,,,33.4,13.9,,,,,,,,,0.0,0.0,1400000US37007920501,2020-04-21,37,007,920501
,,,,,,,44.5,18.8,,,,,,,,,0.0,0.0,1400000US37007920502,2020-04-21,37,007,920502
,,,,,,,31.1,14.1,,,,,,,,,0.2,0.2,1400000US37007920600,2020-04-21,37,007,920600
