CAVG,CINTMAX,CINTMED,CINTMIN,CMAX,CMED,CMIN,CRRALL,CRRINT,DAVG,DINTAVG,DINTMAX,DINTMED,DINTMIN,DMAX,DMED,DMIN,DRRALL,DRRINT,GEO_ID,RESP_DATE,state,county,tract
,,,,,,,14.9,14.7,,,,,,,,,1.9,1.9,1400000US36037950502,2020-03-22,36,37,950502
,,,,,,,22.7,22.1,,,,,,,,,1.3,1.3,1400000US36037950600,2020-03-22,36,37,950600
,,,,,,,16.0,15.5,,,,,,,,,0.8,0.8,1400000US36037950700,2020-03-22,36,37,950700
,,,,,,,18.5,18.4,,,,,,,,,0.8,0.8,1400000US36037950800,2020-03-22,36,37,950800
,,,,,,,30.3,8.8,,,,,,,,,3.8,0.4,1400000US36037950900,2020-03-22,36,37,950900
,,,,,,,18.1,17.5,,,,,,,,,1.1,1.1,1400000US36037951000,2020-03-22,36,37,951000
,,,,,,,14.2,14.0,,,,,,,,,3.0,3.0,1400000US36037951100,2020-03-22,36,37,951100
,,,,,,,21.6,21.4,,,,,,,,,1.4,1.4,1400000US36037951200,2020-03-22,36,37,951200
,,,,,,,23.9,23.8,,,,,,,,,1.8,1.7,1400000US36037951300,2020-03-22,36,37,951300
,,,,,,,15.6,15.4,,,,,,,,,2.6,2.6,1400000US36037951400,2020-03-22,36,37,951400
,,,,,,,15.2,4.7,,,,,,,,,1.8,0.1,1400000US36039080100,2020-03-22,36,39,80100
,,,,,,,13.8,13.5,,,,,,,,,1.6,1.6,1400000US36039080201,2020-03-22,36,39,80201
,,,,,,,12.7,3.9,,,,,,,,,1.6,0.1,1400000US36039080202,2020-03-22,36,39,80202
,,,,,,,0.7,0.6,,,,,,,,,0.1,0.1,1400000US36039080301,2020-03-22,36,39,80301
,,,,,,,1.9,1.8,,,,,,,,,0.2,0.2,1400000US36039080302,2020-03-22,36,39,80302
,,,,,,,2.6,0.7,,,,,,,,,0.3,0.1,1400000US36039080402,2020-03-22,36,39,80402
,,,,,,,0.8,0.7,,,,,,,,,0.1,0.1,1400000US36039080404,2020-03-22,36,39,80404
,,,,,,,11.9,11.6,,,,,,,,,1.5,1.5,1400000US36039080501,2020-03-22,36,39,80501
,,,,,,,11.5,11.4,,,,,,,,,0.9,0.9,1400000US36039080600,2020-03-22,36,39,80600
,,,,,,,16.0,15.4,,,,,,,,,1.2,1.1,1400000US36039080700,2020-03-22,36,39,80700
,,,,,,,12.1,11.6,,,,,,,,,1.7,1.6,1400000US36039080900,2020-03-22,36,39,80900
,,,,,,,19.8,7.8,,,,,,,,,2.2,0.1,1400000US36039081002,2020-03-22,36,39,81002
,,,,,,,17.1,5.1,,,,,,,,,2.5,0.2,1400000US36039081101,2020-03-22,36,39,81101
,,,,,,,0.1,0.1,,,,,,,,,0.0,0.0,1400000US36041950100,2020-03-22,36,41,950100
,,,,,,,0.4,0.2,,,,,,,,,0.1,0.0,1400000US36041950300,2020-03-22,36,41,950300
,,,,,,,0.2,0.2,,,,,,,,,0.1,0.1,1400000US36041950500,2020-03-22,36,41,950500
,,,,,,,20.3,19.9,,,,,,,,,1.4,1.4,1400000US36043010201,2020-03-22,36,43,10201
,,,,,,,33.6,9.1,,,,,,,,,4.4,0.4,1400000US36043010202,2020-03-22,36,43,10202
,,,,,,,16.8,16.4,,,,,,,,,1.2,1.2,1400000US36043010400,2020-03-22,36,43,10400
,,,,,,,22.1,21.9,,,,,,,,,0.6,0.6,1400000US36043010501,2020-03-22,36,43,10501
,,,,,,,18.1,17.8,,,,,,,,,1.7,1.7,1400000US36043010701,2020-03-22,36,43,10701
,,,,,,,31.4,7.2,,,,,,,,,3.6,0.5,1400000US36043010900,2020-03-22,36,43,10900
,,,,,,,17.7,17.4,,,,,,,,,1.7,1.7,1400000US36043011001,2020-03-22,36,43,11001
,,,,,,,14.0,13.5,,,,,,,,,0.8,0.8,1400000US36043011100,2020-03-22,36,43,11100
,,,,,,,26.5,7.3,,,,,,,,,2.8,0.4,1400000US36043011200,2020-03-22,36,43,11200
,,,,,,,31.3,7.5,,,,,,,,,3.5,0.5,1400000US36043011302,2020-03-22,36,43,11302
,,,,,,,11.5,11.1,,,,,,,,,1.3,1.2,1400000US36043011400,2020-03-22,36,43,11400
,,,,,,,10.4,10.4,,,,,,,,,1.0,1.0,1400000US36043011503,2020-03-22,36,43,11503
,,,,,,,4.4,4.3,,,,,,,,,0.4,0.4,1400000US36045060101,2020-03-22,36,45,60101
,,,,,,,8.5,8.3,,,,,,,,,1.4,1.4,1400000US36045060202,2020-03-22,36,45,60202
,,,,,,,3.2,3.1,,,,,,,,,0.3,0.3,1400000US36045060301,2020-03-22,36,45,60301
,,,,,,,4.2,4.1,,,,,,,,,0.4,0.4,1400000US36045060302,2020-03-22,36,45,60302
,,,,,,,11.0,11.0,,,,,,,,,1.1,1.1,1400000US36045060402,2020-03-22,36,45,60402
,,,,,,,14.8,14.7,,,,,,,,,1.9,1.9,1400000US36045060500,2020-03-22,36,45,60500
,,,,,,,10.0,10.0,,,,,,,,,1.7,1.7,1400000US36045060602,2020-03-22,36,45,60602
